CFE data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action. The information and data was obtained from sources believed to be reliable but accuracy is not guaranteed. Your use of CFE data is subject to the Terms and Conditions of CBOE's Websites.
Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
04/21/2014,F (Jan 15),0.00,18.15,18.80,0.00,18.50,18.50,0,0,0
04/22/2014,F (Jan 15),18.20,18.30,18.17,18.28,18.30,-0.20,128,0,110
04/23/2014,F (Jan 15),18.30,18.40,18.29,18.40,18.40,0.10,83,0,189
04/24/2014,F (Jan 15),18.36,18.53,18.35,18.45,18.40,0.00,252,0,494
04/25/2014,F (Jan 15),18.45,18.55,18.45,18.45,18.45,0.05,86,0,460
04/28/2014,F (Jan 15),18.38,18.45,18.28,18.28,18.30,-0.15,195,0,676
04/29/2014,F (Jan 15),18.26,18.26,18.14,18.20,18.10,-0.20,58,0,678
04/30/2014,F (Jan 15),18.20,18.23,18.10,18.15,18.20,0.10,161,0,807
05/01/2014,F (Jan 15),18.19,18.22,18.15,18.19,18.20,0.00,38,0,826
05/02/2014,F (Jan 15),18.20,18.31,18.20,18.30,18.30,0.10,22,0,835
05/05/2014,F (Jan 15),18.35,18.37,18.18,18.20,18.20,-0.10,42,0,872
05/06/2014,F (Jan 15),18.20,18.34,18.15,18.32,18.35,0.15,186,0,892
05/07/2014,F (Jan 15),18.30,18.30,18.15,18.15,18.15,-0.20,64,0,936
05/08/2014,F (Jan 15),18.15,18.15,17.95,18.10,18.15,0.00,58,0,937
05/09/2014,F (Jan 15),18.19,18.19,17.88,17.95,17.90,-0.25,30,0,956
05/12/2014,F (Jan 15),17.86,17.87,17.65,17.75,17.75,-0.15,263,0,1090
05/13/2014,F (Jan 15),17.71,17.75,17.60,17.70,17.70,-0.05,157,0,1163
05/14/2014,F (Jan 15),17.78,17.81,17.73,17.81,17.85,0.15,45,0,1191
05/15/2014,F (Jan 15),17.80,18.02,17.75,17.88,17.90,0.05,98,0,1216
05/16/2014,F (Jan 15),17.90,17.91,17.75,17.80,17.80,-0.10,30,0,1224
05/19/2014,F (Jan 15),17.80,17.80,17.60,17.60,17.65,-0.15,84,0,1255
05/20/2014,F (Jan 15),17.60,17.67,17.55,17.56,17.60,-0.05,237,0,1317
05/21/2014,F (Jan 15),17.60,17.61,17.45,17.49,17.45,-0.15,54,0,1329
05/22/2014,F (Jan 15),17.50,17.65,17.43,17.63,17.65,0.20,203,0,1435
05/23/2014,F (Jan 15),17.60,17.70,17.55,17.68,17.70,0.05,506,0,1681
05/27/2014,F (Jan 15),17.55,17.65,17.50,17.55,17.55,-0.15,178,0,1691
05/28/2014,F (Jan 15),17.53,17.65,17.48,17.65,17.65,0.10,253,0,1821
05/29/2014,F (Jan 15),17.63,17.70,17.55,17.68,17.70,0.05,395,0,1972
05/30/2014,F (Jan 15),17.70,17.90,17.69,17.86,17.85,0.15,474,0,2007
06/02/2014,F (Jan 15),17.95,17.97,17.85,17.90,17.90,0.05,192,0,2035
06/03/2014,F (Jan 15),17.90,17.99,17.80,17.85,17.85,-0.05,763,0,2041
06/04/2014,F (Jan 15),17.84,17.85,17.67,17.70,17.75,-0.10,561,0,2167
06/05/2014,F (Jan 15),17.74,17.78,17.44,17.45,17.50,-0.25,639,0,2379
06/06/2014,F (Jan 15),17.47,17.47,16.87,16.99,17.00,-0.50,1714,0,2221
06/09/2014,F (Jan 15),16.99,17.19,16.91,17.17,17.20,0.20,310,0,2317
06/10/2014,F (Jan 15),17.15,17.26,17.10,17.15,17.15,-0.05,432,0,2327
06/11/2014,F (Jan 15),17.15,17.31,17.15,17.31,17.30,0.15,897,0,2575
06/12/2014,F (Jan 15),17.30,17.70,17.20,17.64,17.65,0.35,550,0,2656
06/13/2014,F (Jan 15),17.65,17.68,17.28,17.46,17.45,-0.20,1407,0,2268
06/16/2014,F (Jan 15),17.50,17.55,17.35,17.43,17.45,0.00,417,0,2348
