CFE data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action. The information and data was obtained from sources believed to be reliable but accuracy is not guaranteed. Your use of CFE data is subject to the Terms and Conditions of CBOE's Websites.
Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
05/27/2014,G (Feb 15),0.00,17.65,20.00,0.00,18.80,18.80,0,0,0
05/28/2014,G (Feb 15),0.00,17.70,17.70,0.00,17.85,-0.95,0,0,0
05/29/2014,G (Feb 15),17.80,17.96,17.79,17.96,17.90,0.05,70,0,37
05/30/2014,G (Feb 15),17.95,18.20,17.90,18.14,18.15,0.25,212,0,86
06/02/2014,G (Feb 15),18.20,18.22,18.15,18.20,18.20,0.05,36,0,110
06/03/2014,G (Feb 15),18.20,18.22,18.10,18.12,18.15,-0.05,692,0,944
06/04/2014,G (Feb 15),18.10,18.12,17.97,17.97,18.00,-0.15,465,0,1017
06/05/2014,G (Feb 15),17.98,18.00,17.70,17.74,17.75,-0.25,136,0,783
06/06/2014,G (Feb 15),17.70,17.70,17.15,17.28,17.30,-0.45,1425,0,2401
06/09/2014,G (Feb 15),17.23,17.40,17.20,17.40,17.45,0.15,117,0,1618
06/10/2014,G (Feb 15),17.44,17.51,17.40,17.45,17.45,0.00,126,0,1650
06/11/2014,G (Feb 15),17.54,17.60,17.45,17.60,17.60,0.15,294,0,1723
06/12/2014,G (Feb 15),17.52,17.95,17.52,17.93,17.95,0.35,200,0,1866
06/13/2014,G (Feb 15),17.85,17.95,17.58,17.75,17.75,-0.20,382,0,2122
06/16/2014,G (Feb 15),17.75,17.80,17.65,17.70,17.70,-0.05,39,0,2010
06/17/2014,G (Feb 15),17.65,17.75,17.60,17.63,17.65,-0.05,38,0,2033
06/18/2014,G (Feb 15),17.70,17.72,17.27,17.27,17.30,-0.35,520,0,2078
06/19/2014,G (Feb 15),17.32,17.40,17.23,17.35,17.40,0.10,159,0,2114
06/20/2014,G (Feb 15),17.34,17.45,17.25,17.45,17.50,0.10,149,0,2171
06/23/2014,G (Feb 15),17.45,17.51,17.35,17.37,17.40,-0.10,330,0,2176
06/24/2014,G (Feb 15),17.44,17.60,17.35,17.54,17.55,0.15,557,0,2287
06/25/2014,G (Feb 15),17.53,17.57,17.32,17.35,17.40,-0.15,613,0,2372
06/26/2014,G (Feb 15),17.35,17.48,17.25,17.25,17.25,-0.15,137,0,2397
06/27/2014,G (Feb 15),17.33,17.34,17.21,17.33,17.30,0.05,502,0,2490
06/30/2014,G (Feb 15),17.20,17.28,17.10,17.12,17.15,-0.15,374,0,2521
07/01/2014,G (Feb 15),17.09,17.10,16.85,16.99,17.00,-0.15,476,0,2571
07/02/2014,G (Feb 15),16.95,16.95,16.77,16.80,16.80,-0.20,344,0,2623
07/03/2014,G (Feb 15),16.70,16.71,16.59,16.66,16.65,-0.15,380,0,2727
07/07/2014,G (Feb 15),16.40,16.87,16.40,16.86,16.85,0.20,536,0,2805
07/08/2014,G (Feb 15),16.90,17.14,16.80,16.90,16.90,0.05,1309,0,3298
07/09/2014,G (Feb 15),16.86,16.90,16.66,16.76,16.75,-0.15,1020,0,3383
07/10/2014,G (Feb 15),16.77,17.00,16.72,16.82,16.85,0.10,967,0,3386
07/11/2014,G (Feb 15),16.80,16.84,16.65,16.73,16.75,-0.10,889,0,3688
07/14/2014,G (Feb 15),16.70,16.70,16.45,16.45,16.45,-0.30,338,0,3717
07/15/2014,G (Feb 15),16.44,16.59,16.35,16.50,16.50,0.05,1673,0,3919
07/16/2014,G (Feb 15),16.45,16.60,16.30,16.51,16.55,0.05,1901,0,4445
07/17/2014,G (Feb 15),16.57,17.10,16.43,16.70,16.70,0.15,3867,0,4956
07/18/2014,G (Feb 15),16.63,17.05,16.35,16.50,16.50,-0.20,2626,0,5201
07/21/2014,G (Feb 15),16.45,16.65,16.40,16.65,16.60,0.10,3749,0,5984
07/22/2014,G (Feb 15),16.60,16.63,16.32,16.55,16.55,-0.05,2023,5,6871
07/23/2014,G (Feb 15),16.55,16.70,16.47,16.70,16.70,0.15,2598,0,7671
07/24/2014,G (Feb 15),16.67,16.80,16.53,16.72,16.75,0.05,2614,0,8558
07/25/2014,G (Feb 15),16.76,16.85,16.67,16.81,16.85,0.10,3537,0,9199
07/28/2014,G (Feb 15),16.85,16.85,16.67,16.75,16.75,-0.10,2582,0,10431
07/29/2014,G (Feb 15),16.75,16.80,16.55,16.70,16.70,-0.05,2544,0,11162
07/30/2014,G (Feb 15),16.65,16.75,16.42,16.75,16.75,0.05,3682,0,11739
07/31/2014,G (Feb 15),16.70,17.35,16.67,17.35,17.35,0.60,5437,45,12755
08/01/2014,G (Feb 15),17.28,17.85,16.90,17.85,17.85,0.50,6016,0,13603
08/04/2014,G (Feb 15),17.85,17.85,17.22,17.45,17.45,-0.40,3792,44,14448
08/05/2014,G (Feb 15),17.43,18.06,17.35,17.95,17.95,0.50,5257,0,15172
08/06/2014,G (Feb 15),17.85,18.15,17.68,18.10,18.10,0.15,5901,0,15344
08/07/2014,G (Feb 15),18.10,18.53,17.85,18.45,18.45,0.35,4544,0,15679
08/08/2014,G (Feb 15),18.40,19.13,18.03,18.15,18.20,-0.25,3939,0,16398
08/11/2014,G (Feb 15),18.25,18.33,17.60,17.75,17.70,-0.50,3777,184,17251
08/12/2014,G (Feb 15),17.67,17.80,17.51,17.64,17.65,-0.05,2022,0,17466
08/13/2014,G (Feb 15),17.62,17.65,17.20,17.30,17.25,-0.40,2006,102,17740
08/14/2014,G (Feb 15),17.25,17.27,16.80,16.85,16.85,-0.40,3508,0,18869
