Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
01/20/2006,H (Mar 06),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
01/23/2006,H (Mar 06),0.00,0.00,0.00,0.00,142.80,142.80,0,0,0
01/24/2006,H (Mar 06),141.00,141.60,139.80,140.50,140.20,-2.60,14,0,14
01/25/2006,H (Mar 06),137.90,139.50,137.90,139.50,138.20,-2.00,202,0,215
01/26/2006,H (Mar 06),137.80,137.80,137.50,137.80,136.80,-1.40,8,0,224
01/27/2006,H (Mar 06),134.00,134.00,133.50,134.00,133.50,-3.30,10,0,228
01/30/2006,H (Mar 06),133.60,134.00,132.60,133.00,132.10,-1.40,15,0,233
01/31/2006,H (Mar 06),131.30,132.40,131.00,131.00,131.90,-0.20,210,0,435
02/01/2006,H (Mar 06),130.30,131.00,130.30,131.00,131.40,-0.50,21,0,456
02/02/2006,H (Mar 06),132.50,132.80,132.50,132.80,132.30,0.90,16,0,450
02/03/2006,H (Mar 06),133.30,133.30,130.70,131.80,131.70,-0.60,28,0,465
02/06/2006,H (Mar 06),131.00,132.00,131.00,132.00,132.30,0.60,8,0,463
02/07/2006,H (Mar 06),133.00,133.20,133.00,133.00,132.90,0.60,11,0,474
02/08/2006,H (Mar 06),131.80,131.80,130.00,130.50,130.50,-2.40,19,0,474
02/09/2006,H (Mar 06),130.00,130.00,128.00,128.50,128.90,-1.60,8,0,464
02/10/2006,H (Mar 06),130.00,130.80,128.00,128.00,128.50,-0.40,22,0,475
02/13/2006,H (Mar 06),129.00,131.50,129.00,131.50,130.70,2.20,30,0,471
02/14/2006,H (Mar 06),132.20,132.20,129.00,129.00,129.30,-1.40,16,0,486
02/15/2006,H (Mar 06),130.00,131.20,129.50,131.10,129.90,0.60,278,0,733
02/16/2006,H (Mar 06),129.80,129.80,127.00,127.10,127.40,-2.50,102,0,815
02/17/2006,H (Mar 06),128.20,128.20,126.50,126.50,126.00,-1.40,31,0,810
02/21/2006,H (Mar 06),124.80,125.50,124.30,125.00,124.40,-1.60,32,0,837
02/22/2006,H (Mar 06),123.40,123.40,122.00,122.00,121.90,-2.50,30,0,843
02/23/2006,H (Mar 06),122.80,122.90,122.80,122.80,122.00,0.10,62,0,872
02/24/2006,H (Mar 06),122.00,128.00,121.00,121.00,121.00,-1.00,38,0,898
02/27/2006,H (Mar 06),119.90,120.00,119.50,119.70,119.60,-1.40,72,0,909
02/28/2006,H (Mar 06),120.20,122.50,119.10,122.00,121.90,2.30,490,0,1334
03/01/2006,H (Mar 06),121.70,121.70,120.40,121.20,120.50,-1.40,117,0,1176
03/02/2006,H (Mar 06),121.10,122.10,121.00,121.00,120.70,0.20,44,0,1200
03/03/2006,H (Mar 06),121.00,121.00,120.00,121.00,121.10,0.40,31,0,1222
03/06/2006,H (Mar 06),122.00,123.90,122.00,123.70,123.40,2.30,48,0,1239
03/07/2006,H (Mar 06),124.00,125.70,123.40,125.50,124.40,1.00,62,0,868
03/08/2006,H (Mar 06),125.10,125.50,121.40,122.90,122.50,-1.90,51,0,874
03/09/2006,H (Mar 06),123.60,123.60,123.00,123.00,123.80,1.30,8,0,875
03/10/2006,H (Mar 06),122.90,122.90,122.20,122.20,122.10,-1.70,17,0,878
03/13/2006,H (Mar 06),121.20,121.20,117.80,118.80,118.80,-3.30,56,0,878
03/14/2006,H (Mar 06),118.00,118.10,115.00,115.50,115.10,-3.70,90,0,886
03/15/2006,H (Mar 06),115.70,115.70,114.40,114.80,114.80,-0.30,18,0,857
03/16/2006,H (Mar 06),114.00,115.00,114.00,114.80,114.50,-0.30,10,0,857
03/17/2006,H (Mar 06),115.00,117.20,115.00,117.20,116.60,2.10,15,0,858
03/20/2006,H (Mar 06),116.00,116.50,108.00,114.25,115.00,-1.60,332,0,1014
03/21/2006,H (Mar 06),116.40,116.40,112.10,115.00,115.30,0.30,73,0,729
03/22/2006,H (Mar 06),0.00,0.00,0.00,0.00,111.45,-3.85,0,0,611
