CFE data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action. The information and data was obtained from sources believed to be reliable but accuracy is not guaranteed. Your use of CFE data is subject to the Terms and Conditions of CBOE's Websites.
Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
06/23/2014,H (Mar 15),18.25,18.25,18.00,18.25,17.70,17.70,1,0,1
06/24/2014,H (Mar 15),17.70,17.85,17.67,17.82,17.80,0.10,137,0,126
06/25/2014,H (Mar 15),17.70,17.80,17.59,17.59,17.60,-0.20,115,0,246
06/26/2014,H (Mar 15),17.74,17.74,17.50,17.50,17.55,-0.05,18,0,222
06/27/2014,H (Mar 15),17.60,17.63,17.45,17.50,17.55,0.00,211,0,417
06/30/2014,H (Mar 15),17.55,17.55,17.40,17.45,17.40,-0.15,221,0,507
07/01/2014,H (Mar 15),17.38,17.38,17.15,17.30,17.30,-0.10,46,0,506
07/02/2014,H (Mar 15),17.16,17.20,17.10,17.10,17.10,-0.20,142,0,725
07/03/2014,H (Mar 15),17.00,17.00,16.88,16.97,16.95,-0.15,22,0,637
07/07/2014,H (Mar 15),16.92,17.15,16.92,17.14,17.15,0.20,129,0,755
07/08/2014,H (Mar 15),17.16,17.38,17.09,17.16,17.20,0.05,354,0,1120
07/09/2014,H (Mar 15),17.14,17.19,17.00,17.07,17.05,-0.15,262,0,1070
07/10/2014,H (Mar 15),17.10,17.25,17.02,17.11,17.15,0.10,360,0,1147
07/11/2014,H (Mar 15),17.08,17.12,17.00,17.05,17.05,-0.10,197,0,1262
07/14/2014,H (Mar 15),16.96,16.96,16.80,16.82,16.80,-0.25,135,0,1337
07/15/2014,H (Mar 15),16.75,16.89,16.75,16.77,16.80,0.00,435,0,1548
07/16/2014,H (Mar 15),16.60,16.87,16.60,16.85,16.85,0.05,788,0,2046
07/17/2014,H (Mar 15),16.89,17.35,16.77,17.05,17.00,0.15,701,0,2472
07/18/2014,H (Mar 15),17.05,17.15,16.70,16.80,16.85,-0.15,291,0,2525
07/21/2014,H (Mar 15),16.80,16.94,16.75,16.92,16.90,0.05,498,0,2781
07/22/2014,H (Mar 15),16.85,16.93,16.70,16.88,16.90,0.00,465,0,3039
07/23/2014,H (Mar 15),16.90,17.03,16.81,17.02,17.00,0.10,1233,0,3579
07/24/2014,H (Mar 15),16.98,17.10,16.86,17.08,17.10,0.10,750,0,3877
07/25/2014,H (Mar 15),17.08,17.20,17.02,17.14,17.10,0.00,1139,0,4433
07/28/2014,H (Mar 15),17.13,17.16,17.00,17.05,17.05,-0.05,840,0,5005
07/29/2014,H (Mar 15),16.99,17.10,16.90,17.02,17.00,-0.05,486,0,5284
07/30/2014,H (Mar 15),17.01,17.09,16.80,17.07,17.05,0.05,1098,0,5470
07/31/2014,H (Mar 15),17.10,17.65,17.05,17.60,17.65,0.60,1577,0,6037
08/01/2014,H (Mar 15),17.66,18.12,17.25,18.09,18.10,0.45,1460,0,6232
08/04/2014,H (Mar 15),18.06,18.10,17.55,17.80,17.75,-0.35,633,0,6210
08/05/2014,H (Mar 15),17.75,18.37,17.70,18.30,18.30,0.55,1865,0,6838
08/06/2014,H (Mar 15),18.18,18.47,18.02,18.40,18.45,0.15,2282,0,7282
08/07/2014,H (Mar 15),18.39,18.80,18.20,18.75,18.70,0.25,1448,0,7481
08/08/2014,H (Mar 15),18.74,19.79,18.36,18.46,18.50,-0.20,1552,0,7833
08/11/2014,H (Mar 15),18.59,18.59,17.94,18.00,18.05,-0.45,537,0,7884
08/12/2014,H (Mar 15),18.00,18.10,17.85,17.95,18.00,-0.05,383,0,7981
08/13/2014,H (Mar 15),17.95,17.98,17.60,17.60,17.60,-0.40,429,0,8043
08/14/2014,H (Mar 15),17.49,17.60,17.25,17.27,17.25,-0.35,1005,0,8409
