Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
02/17/2006,J (Apr 06),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
02/21/2006,J (Apr 06),0.00,0.00,0.00,0.00,136.70,136.70,0,0,0
02/22/2006,J (Apr 06),135.70,135.70,128.70,128.70,129.90,-6.80,41,0,36
02/23/2006,J (Apr 06),0.00,0.00,0.00,0.00,129.40,-0.50,0,0,30
02/24/2006,J (Apr 06),128.80,128.80,127.20,127.20,127.60,-1.80,11,0,41
02/27/2006,J (Apr 06),126.50,126.50,126.20,126.20,127.10,-0.50,10,0,51
02/28/2006,J (Apr 06),127.35,128.00,127.35,128.00,128.00,0.90,51,0,102
03/01/2006,J (Apr 06),129.10,129.10,127.00,127.00,127.50,-0.50,26,0,128
03/02/2006,J (Apr 06),126.80,128.00,126.80,128.00,127.80,0.30,31,0,153
03/03/2006,J (Apr 06),129.60,129.60,126.30,126.30,127.60,-0.20,41,0,182
03/06/2006,J (Apr 06),128.80,129.00,128.80,129.00,128.50,0.90,19,0,191
03/07/2006,J (Apr 06),129.50,130.10,129.40,129.70,129.40,0.90,71,0,238
03/08/2006,J (Apr 06),129.10,129.10,128.50,128.50,128.50,-0.90,22,0,203
03/09/2006,J (Apr 06),129.40,129.40,129.00,129.00,129.00,0.50,6,0,209
03/10/2006,J (Apr 06),128.00,129.00,128.00,129.00,128.10,-0.90,53,0,262
03/13/2006,J (Apr 06),127.50,128.10,127.00,127.10,127.70,-0.40,70,0,309
03/14/2006,J (Apr 06),127.50,127.50,126.10,126.70,126.60,-1.10,106,0,415
03/15/2006,J (Apr 06),126.70,127.00,126.00,127.00,126.60,0.00,191,0,606
03/16/2006,J (Apr 06),126.50,126.50,124.60,124.70,124.50,-2.10,64,0,656
03/17/2006,J (Apr 06),125.00,125.30,124.00,124.00,124.70,0.20,104,0,685
03/20/2006,J (Apr 06),125.50,126.10,125.00,126.00,125.60,0.90,300,0,973
03/21/2006,J (Apr 06),126.00,126.00,125.00,126.00,126.20,0.60,17,0,942
03/22/2006,J (Apr 06),125.20,125.50,123.60,123.60,124.30,-1.90,37,0,980
03/23/2006,J (Apr 06),0.00,0.00,0.00,0.00,124.50,0.20,0,0,960
03/24/2006,J (Apr 06),125.00,125.00,123.40,123.60,123.60,-0.90,4,0,961
03/27/2006,J (Apr 06),124.00,124.00,123.00,123.00,123.80,0.20,13,0,953
03/28/2006,J (Apr 06),121.00,123.50,121.00,123.50,123.50,-0.30,67,0,982
03/29/2006,J (Apr 06),121.80,121.80,120.20,120.50,120.60,-2.90,57,0,1006
03/30/2006,J (Apr 06),119.10,120.70,118.70,119.00,120.00,-0.60,75,0,998
03/31/2006,J (Apr 06),121.00,121.20,121.00,121.20,121.20,1.20,10,0,982
04/03/2006,J (Apr 06),120.40,120.40,119.10,119.10,120.90,-0.30,20,0,993
04/04/2006,J (Apr 06),120.10,120.10,119.70,120.00,120.00,-0.90,40,0,1013
04/05/2006,J (Apr 06),118.90,120.10,118.50,118.50,119.00,-1.00,12,0,1019
04/06/2006,J (Apr 06),119.00,119.00,119.00,119.00,119.20,0.20,5,0,1011
04/07/2006,J (Apr 06),118.00,121.60,118.00,121.60,120.70,1.50,43,0,1031
04/10/2006,J (Apr 06),121.10,123.30,121.10,123.30,123.00,2.30,151,0,1111
04/11/2006,J (Apr 06),123.00,127.60,123.00,126.50,126.10,3.10,257,0,1272
04/12/2006,J (Apr 06),126.20,126.70,126.20,126.70,126.30,0.20,28,0,1125
04/13/2006,J (Apr 06),127.10,127.20,125.50,125.60,125.70,-0.60,23,0,1137
04/17/2006,J (Apr 06),126.10,127.10,124.90,127.10,126.10,0.40,151,0,1089
04/18/2006,J (Apr 06),126.00,126.00,114.60,114.60,114.80,-11.30,333,0,1262
04/19/2006,J (Apr 06),0.00,0.00,0.00,0.00,119.41,4.61,0,0,921
