Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
11/17/2006,M (Jun 07),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
11/20/2006,M (Jun 07),0.00,0.00,0.00,0.00,154.50,154.50,0,0,0
12/27/2006,M (Jun 07),0.00,0.00,0.00,0.00,153.10,0.00,0,0,0
12/28/2006,M (Jun 07),0.00,0.00,0.00,0.00,154.70,1.60,0,0,0
12/29/2006,M (Jun 07),0.00,0.00,0.00,0.00,154.80,0.10,0,0,0
01/03/2007,M (Jun 07),0.00,0.00,0.00,0.00,154.80,0.00,0,0,0
01/04/2007,M (Jun 07),0.00,0.00,0.00,0.00,154.50,-0.10,0,0,0
01/05/2007,M (Jun 07),0.00,0.00,0.00,0.00,155.00,0.50,0,0,0
01/08/2007,M (Jun 07),0.00,0.00,0.00,0.00,154.60,-0.40,0,0,0
01/09/2007,M (Jun 07),0.00,0.00,0.00,0.00,153.50,-1.10,0,0,0
01/10/2007,M (Jun 07),0.00,0.00,0.00,0.00,153.00,-0.50,0,0,0
01/11/2007,M (Jun 07),151.40,151.40,150.40,150.40,150.40,-2.60,20,0,20
01/12/2007,M (Jun 07),149.10,149.10,148.80,148.80,148.60,-1.80,50,0,70
01/16/2007,M (Jun 07),149.50,149.50,148.60,148.60,148.80,0.20,501,0,571
01/17/2007,M (Jun 07),147.50,147.50,147.10,147.10,147.80,-1.00,35,0,576
01/18/2007,M (Jun 07),146.40,146.40,146.40,146.40,146.90,-0.90,2,0,568
01/19/2007,M (Jun 07),145.90,145.90,145.90,145.90,145.40,-1.50,10,0,576
01/22/2007,M (Jun 07),0.00,0.00,0.00,0.00,145.40,0.00,0,0,566
01/23/2007,M (Jun 07),144.90,145.00,144.00,144.00,143.30,-2.10,42,0,608
01/24/2007,M (Jun 07),142.70,142.70,142.70,142.70,141.50,-1.80,10,0,610
01/25/2007,M (Jun 07),142.00,142.50,141.10,141.10,142.10,0.60,42,0,620
01/26/2007,M (Jun 07),0.00,0.00,0.00,0.00,142.00,-0.10,0,0,620
01/29/2007,M (Jun 07),0.00,0.00,0.00,0.00,142.10,0.10,0,0,620
01/30/2007,M (Jun 07),0.00,0.00,0.00,0.00,141.40,-0.70,0,0,620
01/31/2007,M (Jun 07),0.00,0.00,0.00,0.00,140.60,-0.80,0,0,620
02/01/2007,M (Jun 07),140.00,140.00,139.90,140.00,140.10,-0.50,7,0,625
02/02/2007,M (Jun 07),0.00,0.00,0.00,0.00,140.50,0.40,0,0,630
02/05/2007,M (Jun 07),0.00,0.00,0.00,0.00,140.50,0.00,0,0,625
02/06/2007,M (Jun 07),140.00,140.00,138.90,138.90,138.80,-1.70,16,0,637
02/07/2007,M (Jun 07),0.00,0.00,0.00,0.00,138.20,-0.60,0,0,649
02/08/2007,M (Jun 07),138.20,138.50,138.20,138.50,138.20,0.00,9,0,636
02/09/2007,M (Jun 07),139.20,142.00,139.20,142.00,141.40,3.20,39,0,675
02/12/2007,M (Jun 07),142.30,142.30,142.30,142.30,142.20,0.80,15,0,670
02/13/2007,M (Jun 07),141.80,141.80,141.60,141.60,140.30,-1.90,18,0,670
