Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
01/19/2007,N (Jul 07),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
01/22/2007,N (Jul 07),147.30,147.30,147.30,147.30,147.40,147.40,10,0,10
01/23/2007,N (Jul 07),148.00,148.00,146.80,146.80,146.60,-0.80,20,0,30
01/24/2007,N (Jul 07),145.70,145.70,144.10,144.10,143.50,-3.10,535,0,555
01/25/2007,N (Jul 07),144.50,144.60,144.30,144.30,144.10,0.60,27,0,532
01/26/2007,N (Jul 07),0.00,0.00,0.00,0.00,144.00,-0.10,0,0,520
01/29/2007,N (Jul 07),0.00,0.00,0.00,0.00,144.00,0.00,0,0,520
01/30/2007,N (Jul 07),0.00,0.00,0.00,0.00,144.10,0.10,0,0,520
01/31/2007,N (Jul 07),0.00,0.00,0.00,0.00,143.30,-0.80,0,0,520
02/01/2007,N (Jul 07),0.00,0.00,0.00,0.00,143.10,-0.20,0,0,520
02/02/2007,N (Jul 07),0.00,0.00,0.00,0.00,142.60,-0.50,0,0,520
02/05/2007,N (Jul 07),144.00,144.00,144.00,144.00,143.00,0.40,5,0,525
02/06/2007,N (Jul 07),143.50,143.50,143.20,143.20,142.20,-0.80,11,0,536
02/07/2007,N (Jul 07),141.00,141.00,141.00,141.00,141.60,-0.60,5,0,535
02/08/2007,N (Jul 07),0.00,0.00,0.00,0.00,141.30,-0.30,0,0,535
02/09/2007,N (Jul 07),143.00,144.00,143.00,144.00,143.50,2.20,8,0,543
02/12/2007,N (Jul 07),144.50,145.60,144.50,145.60,145.20,1.70,5,0,548
02/13/2007,N (Jul 07),0.00,0.00,0.00,0.00,143.40,-1.80,0,0,535
02/14/2007,N (Jul 07),141.20,142.80,141.20,142.80,142.10,-1.30,160,0,625
02/15/2007,N (Jul 07),141.30,141.30,140.90,141.00,141.40,-0.70,6,0,625
02/16/2007,N (Jul 07),0.00,0.00,0.00,0.00,140.80,-0.60,0,0,625
02/20/2007,N (Jul 07),140.00,140.00,140.00,140.00,140.70,-0.10,5,0,630
02/21/2007,N (Jul 07),141.00,141.00,139.10,139.10,139.50,-1.20,30,0,655
02/22/2007,N (Jul 07),137.60,137.60,137.60,137.60,138.50,-1.00,5,0,650
02/23/2007,N (Jul 07),138.55,139.00,138.55,139.00,139.20,0.70,164,0,814
02/26/2007,N (Jul 07),0.00,0.00,0.00,0.00,139.30,0.10,0,0,814
02/27/2007,N (Jul 07),140.50,148.20,140.50,148.20,145.60,6.30,163,0,810
02/28/2007,N (Jul 07),142.00,142.10,141.00,142.10,140.80,-4.80,37,0,811
