Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
06/21/2006,Q (Aug 07),0.00,0.00,0.00,0.00,163.40,0.00,0,0,0
06/22/2006,Q (Aug 07),0.00,0.00,0.00,0.00,164.90,1.50,0,0,0
06/23/2006,Q (Aug 07),0.00,0.00,0.00,0.00,165.40,0.50,0,0,0
06/26/2006,Q (Aug 07),164.40,164.40,164.40,164.40,164.70,-0.70,10,0,10
06/27/2006,Q (Aug 07),164.20,164.20,164.20,164.20,165.20,0.50,10,0,20
06/28/2006,Q (Aug 07),166.20,166.20,166.20,166.20,165.90,0.70,10,0,30
06/29/2006,Q (Aug 07),164.10,164.50,163.60,163.60,163.50,-2.40,13,0,20
06/30/2006,Q (Aug 07),0.00,0.00,0.00,0.00,163.30,-0.20,0,0,20
07/03/2006,Q (Aug 07),0.00,0.00,0.00,0.00,163.30,0.00,0,0,20
07/05/2006,Q (Aug 07),162.10,164.00,154.70,164.00,163.30,0.00,150,0,120
07/06/2006,Q (Aug 07),162.40,162.40,162.40,162.40,162.80,-0.50,10,0,160
07/07/2006,Q (Aug 07),163.50,163.50,163.50,163.50,163.20,0.40,10,0,160
07/10/2006,Q (Aug 07),0.00,0.00,0.00,0.00,163.30,0.10,0,0,160
07/11/2006,Q (Aug 07),0.00,0.00,0.00,0.00,163.20,-0.10,0,0,160
07/12/2006,Q (Aug 07),164.40,164.40,164.40,164.40,164.40,1.20,10,0,170
07/13/2006,Q (Aug 07),166.00,166.00,166.00,166.00,166.80,2.40,10,0,80
07/14/2006,Q (Aug 07),167.80,167.80,167.80,167.80,167.90,1.10,10,0,90
07/17/2006,Q (Aug 07),0.00,0.00,0.00,0.00,167.80,-0.10,0,0,90
07/18/2006,Q (Aug 07),168.70,168.70,168.70,168.70,168.20,0.40,10,0,100
07/19/2006,Q (Aug 07),165.50,166.00,165.50,166.00,165.40,-2.80,2,0,101
07/20/2006,Q (Aug 07),0.00,0.00,0.00,0.00,165.50,0.10,0,0,100
07/21/2006,Q (Aug 07),0.00,0.00,0.00,0.00,166.50,1.00,0,0,100
07/24/2006,Q (Aug 07),0.00,0.00,0.00,0.00,164.20,-2.30,0,0,100
07/25/2006,Q (Aug 07),0.00,0.00,0.00,0.00,164.10,-0.10,0,0,100
07/26/2006,Q (Aug 07),0.00,0.00,0.00,0.00,163.80,-0.30,0,0,100
07/27/2006,Q (Aug 07),0.00,0.00,0.00,0.00,164.10,0.30,0,0,100
07/28/2006,Q (Aug 07),0.00,0.00,0.00,0.00,163.30,-0.80,0,0,100
07/31/2006,Q (Aug 07),0.00,0.00,0.00,0.00,163.60,0.30,0,0,100
08/01/2006,Q (Aug 07),0.00,0.00,0.00,0.00,164.70,1.10,0,0,100
08/02/2006,Q (Aug 07),0.00,0.00,0.00,0.00,164.20,-0.50,0,0,100
08/03/2006,Q (Aug 07),0.00,0.00,0.00,0.00,163.70,-0.50,0,0,100
08/04/2006,Q (Aug 07),0.00,0.00,0.00,0.00,163.50,-0.20,0,0,100
08/07/2006,Q (Aug 07),164.60,165.10,164.60,165.10,165.10,1.60,20,0,120
08/08/2006,Q (Aug 07),0.00,0.00,0.00,0.00,164.80,-0.30,0,0,120
08/09/2006,Q (Aug 07),0.00,0.00,0.00,0.00,165.30,0.50,0,0,120
08/10/2006,Q (Aug 07),165.90,165.90,165.90,165.90,165.80,0.50,10,0,130
08/11/2006,Q (Aug 07),165.90,165.90,165.90,165.90,165.40,-0.40,10,0,140
08/14/2006,Q (Aug 07),0.00,0.00,0.00,0.00,165.10,-0.30,0,0,140
08/15/2006,Q (Aug 07),0.00,0.00,0.00,0.00,164.90,-0.20,0,0,140
08/16/2006,Q (Aug 07),0.00,0.00,0.00,0.00,164.60,-0.30,0,0,140
08/17/2006,Q (Aug 07),166.00,166.40,166.00,166.40,167.00,2.40,20,0,160
08/18/2006,Q (Aug 07),0.00,0.00,0.00,0.00,166.90,-0.10,0,0,160
08/21/2006,Q (Aug 07),0.00,0.00,0.00,0.00,167.40,0.50,0,0,160
08/22/2006,Q (Aug 07),0.00,0.00,0.00,0.00,167.30,-0.10,0,0,160
08/23/2006,Q (Aug 07),0.00,0.00,0.00,0.00,167.90,0.60,0,0,160
08/24/2006,Q (Aug 07),0.00,0.00,0.00,0.00,168.10,0.20,0,0,160
08/25/2006,Q (Aug 07),0.00,0.00,0.00,0.00,167.30,-0.80,0,0,160
08/28/2006,Q (Aug 07),0.00,0.00,0.00,0.00,167.40,0.10,0,0,160
08/29/2006,Q (Aug 07),0.00,0.00,0.00,0.00,167.80,0.40,0,0,160
08/30/2006,Q (Aug 07),0.00,0.00,0.00,0.00,166.80,-1.00,0,0,160
08/31/2006,Q (Aug 07),0.00,0.00,0.00,0.00,166.30,-0.50,0,0,160
09/01/2006,Q (Aug 07),0.00,0.00,0.00,0.00,165.70,-0.60,0,0,160
09/05/2006,Q (Aug 07),0.00,0.00,0.00,0.00,165.30,-0.40,0,0,160
09/06/2006,Q (Aug 07),166.40,166.40,166.40,166.40,166.90,1.60,1,0,161
09/07/2006,Q (Aug 07),168.20,168.80,168.20,168.80,168.00,1.10,2,0,163
09/08/2006,Q (Aug 07),167.00,167.00,167.00,167.00,167.80,-0.20,5,0,163
09/11/2006,Q (Aug 07),0.00,0.00,0.00,0.00,167.40,-0.40,0,0,163
09/12/2006,Q (Aug 07),0.00,0.00,0.00,0.00,167.50,0.10,0,0,163
09/13/2006,Q (Aug 07),0.00,0.00,0.00,0.00,167.00,-0.50,0,0,163
09/14/2006,Q (Aug 07),0.00,0.00,0.00,0.00,167.30,0.30,0,0,163
09/15/2006,Q (Aug 07),0.00,0.00,0.00,0.00,167.40,0.10,0,0,163
09/18/2006,Q (Aug 07),0.00,0.00,0.00,0.00,167.10,-0.30,0,0,163
09/19/2006,Q (Aug 07),0.00,0.00,0.00,0.00,166.70,-0.40,0,0,163
09/20/2006,Q (Aug 07),167.60,167.60,167.60,167.60,166.50,-0.20,3,0,166
09/21/2006,Q (Aug 07),167.30,167.30,167.30,167.30,166.70,0.20,2,0,168
09/22/2006,Q (Aug 07),167.70,167.70,167.70,167.70,167.20,0.50,1,0,169
09/25/2006,Q (Aug 07),0.00,0.00,0.00,0.00,166.90,-0.30,0,0,169
09/26/2006,Q (Aug 07),167.70,167.70,167.70,167.70,167.10,0.20,1,0,170
09/27/2006,Q (Aug 07),0.00,0.00,0.00,0.00,167.30,0.20,0,0,170
09/28/2006,Q (Aug 07),168.40,168.40,168.40,168.40,168.00,0.70,5,0,175
09/29/2006,Q (Aug 07),0.00,0.00,0.00,0.00,168.60,0.60,0,0,175
10/02/2006,Q (Aug 07),0.00,0.00,0.00,0.00,168.50,-0.10,0,0,175
