Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
07/24/2006,U (Sep 06),157.50,157.50,157.50,157.50,158.00,0.00,7,0,7
07/25/2006,U (Sep 06),158.00,158.00,153.00,153.00,153.40,-4.60,37,0,44
07/26/2006,U (Sep 06),151.80,151.80,151.00,151.00,152.80,-0.60,20,0,64
07/27/2006,U (Sep 06),150.90,154.50,150.90,154.50,155.20,2.40,4,0,66
07/28/2006,U (Sep 06),152.00,152.50,151.50,151.50,151.60,-3.60,21,0,72
07/31/2006,U (Sep 06),154.20,154.20,153.10,154.00,153.60,2.00,21,0,92
08/01/2006,U (Sep 06),156.60,156.90,156.60,156.70,157.40,3.80,17,0,99
08/02/2006,U (Sep 06),156.20,156.20,155.60,155.60,154.60,-2.80,13,0,100
08/03/2006,U (Sep 06),153.00,154.20,152.00,154.20,153.10,-1.50,12,0,83
08/04/2006,U (Sep 06),151.30,155.10,150.40,155.10,155.20,2.10,109,0,160
08/07/2006,U (Sep 06),156.00,156.50,155.50,156.00,156.10,0.90,39,0,182
08/08/2006,U (Sep 06),155.10,157.00,154.60,156.60,155.60,-0.50,60,0,232
08/09/2006,U (Sep 06),153.80,154.50,152.10,153.80,153.50,-2.10,241,0,447
08/10/2006,U (Sep 06),155.30,158.00,155.30,156.10,155.20,1.70,2653,0,3051
08/11/2006,U (Sep 06),155.60,156.60,155.50,155.50,156.10,0.90,36,0,2377
08/14/2006,U (Sep 06),155.90,155.90,149.20,150.50,150.40,-5.70,1514,0,3877
08/15/2006,U (Sep 06),149.60,149.80,148.40,149.00,149.30,-1.10,538,0,4240
08/16/2006,U (Sep 06),147.60,148.00,142.00,142.00,141.90,-7.40,456,0,4513
08/17/2006,U (Sep 06),140.40,141.60,139.50,141.00,140.80,-1.10,174,0,4599
08/18/2006,U (Sep 06),138.80,140.90,138.10,138.10,138.50,-2.30,126,0,4464
08/21/2006,U (Sep 06),140.10,142.20,136.50,137.00,136.90,-1.60,371,0,4705
08/22/2006,U (Sep 06),136.50,137.00,133.80,135.40,136.00,-0.90,215,0,4775
08/23/2006,U (Sep 06),135.10,141.30,135.10,138.70,139.30,3.30,149,0,4792
08/24/2006,U (Sep 06),138.00,139.00,137.40,139.00,138.60,-0.70,203,0,4946
08/25/2006,U (Sep 06),137.30,137.30,135.00,135.00,135.40,-3.20,153,0,5023
08/28/2006,U (Sep 06),136.80,136.80,132.70,133.40,133.10,-2.30,82,0,5060
08/29/2006,U (Sep 06),133.40,137.40,133.40,135.50,135.60,2.50,1560,0,6330
08/30/2006,U (Sep 06),135.40,135.40,133.40,134.90,134.60,-1.00,191,0,6393
08/31/2006,U (Sep 06),133.90,133.90,131.70,132.00,132.30,-2.30,235,0,6494
09/01/2006,U (Sep 06),130.80,131.20,129.00,129.50,129.50,-2.80,89,0,6607
09/05/2006,U (Sep 06),130.50,131.50,129.70,130.00,129.90,0.40,81,0,6606
09/06/2006,U (Sep 06),132.50,138.20,132.50,136.70,136.90,7.00,495,0,6889
09/07/2006,U (Sep 06),139.60,141.90,138.00,138.00,138.30,1.40,436,0,6851
09/08/2006,U (Sep 06),137.50,138.00,136.00,137.00,136.80,-1.50,115,0,6828
09/11/2006,U (Sep 06),139.30,142.60,134.00,136.00,136.00,-0.80,403,0,6846
09/12/2006,U (Sep 06),134.90,134.90,125.00,126.10,125.70,-10.30,230,0,6686
09/13/2006,U (Sep 06),125.20,126.50,114.90,122.50,122.20,-3.50,222,0,6782
09/14/2006,U (Sep 06),123.00,123.30,121.90,122.80,123.00,0.80,100,0,6810
09/15/2006,U (Sep 06),120.50,121.40,117.30,121.40,120.90,-2.10,1624,0,8012
09/18/2006,U (Sep 06),122.50,122.50,117.40,118.50,118.80,-2.10,3330,0,7015
09/19/2006,U (Sep 06),119.00,126.70,118.00,118.00,118.20,-0.60,918,0,3103
09/20/2006,U (Sep 06),0.00,0.00,0.00,0.00,112.89,-5.31,0,0,2753
