Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
08/18/2006,V (Oct 06),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
08/21/2006,V (Oct 06),152.10,156.30,152.10,154.10,154.60,154.60,128,0,128
08/22/2006,V (Oct 06),154.00,154.00,149.70,152.50,151.70,-2.90,2255,0,2367
08/23/2006,V (Oct 06),150.70,154.00,150.70,151.50,151.80,0.10,3905,0,6106
08/24/2006,V (Oct 06),151.20,151.20,148.50,148.50,148.30,-3.50,1316,0,7222
08/25/2006,V (Oct 06),147.40,148.30,146.00,146.30,146.10,-2.20,62,0,7104
08/28/2006,V (Oct 06),147.10,147.10,144.10,144.90,144.70,-1.40,404,0,6478
08/29/2006,V (Oct 06),146.10,148.00,145.00,145.30,144.90,0.20,382,0,6516
08/30/2006,V (Oct 06),145.00,145.40,144.30,144.30,144.10,-0.80,102,0,6573
08/31/2006,V (Oct 06),143.80,143.80,141.80,141.80,142.20,-1.90,216,0,6747
09/01/2006,V (Oct 06),141.50,141.50,138.90,139.50,139.40,-2.80,235,0,7055
09/05/2006,V (Oct 06),141.50,142.00,140.50,140.70,140.60,1.20,45,0,6969
09/06/2006,V (Oct 06),142.40,146.00,142.20,145.50,145.30,4.70,288,0,7223
09/07/2006,V (Oct 06),148.00,149.50,146.60,146.60,147.00,1.70,242,0,7223
09/08/2006,V (Oct 06),145.50,147.00,145.50,145.70,146.30,-0.70,85,0,7247
09/11/2006,V (Oct 06),148.00,150.90,146.00,147.20,147.40,1.10,491,0,7614
09/12/2006,V (Oct 06),145.80,146.00,140.00,140.00,140.70,-6.70,216,0,7645
09/13/2006,V (Oct 06),141.50,143.00,137.00,138.40,138.60,-2.10,398,0,7951
09/14/2006,V (Oct 06),139.00,141.50,139.00,141.00,140.80,2.20,79,0,8127
09/15/2006,V (Oct 06),139.00,141.00,137.30,141.00,140.50,-0.30,1462,0,9269
09/18/2006,V (Oct 06),140.30,140.50,138.60,139.00,139.20,-1.30,230,0,9374
09/19/2006,V (Oct 06),139.60,143.50,138.10,139.10,138.60,-0.60,832,0,9879
09/20/2006,V (Oct 06),138.70,138.80,136.00,136.00,135.90,-2.70,303,0,9888
09/21/2006,V (Oct 06),134.40,140.60,134.30,139.60,139.60,3.70,226,0,10246
09/22/2006,V (Oct 06),140.60,143.40,139.50,140.00,139.90,0.30,230,0,10367
09/25/2006,V (Oct 06),138.50,142.00,134.70,135.00,135.00,-4.90,187,0,10477
09/26/2006,V (Oct 06),135.90,135.90,132.00,132.00,132.20,-2.80,130,0,10538
09/27/2006,V (Oct 06),132.10,133.00,129.60,133.00,132.10,-0.10,414,0,10746
09/28/2006,V (Oct 06),133.40,133.60,131.60,132.00,131.80,-0.30,467,0,10991
09/29/2006,V (Oct 06),133.10,133.40,131.00,131.20,131.00,-0.80,409,0,10941
10/02/2006,V (Oct 06),130.80,133.90,130.80,133.90,133.70,2.70,409,0,11248
10/03/2006,V (Oct 06),135.00,135.90,133.50,134.30,134.90,1.20,352,0,11204
10/04/2006,V (Oct 06),135.00,135.00,126.50,127.40,127.20,-7.70,982,0,11714
10/05/2006,V (Oct 06),128.00,129.10,125.10,126.00,125.80,-1.40,213,0,11139
10/06/2006,V (Oct 06),126.90,129.00,124.90,125.00,124.80,-1.00,305,0,11312
10/09/2006,V (Oct 06),125.70,125.70,121.40,122.50,122.30,-2.50,134,0,11326
10/10/2006,V (Oct 06),123.20,123.20,116.60,117.60,117.20,-5.10,6091,0,11259
10/11/2006,V (Oct 06),119.50,119.50,116.00,117.00,116.20,-1.00,1425,0,9265
10/12/2006,V (Oct 06),115.30,116.00,113.20,113.50,113.60,-2.60,852,0,8196
10/13/2006,V (Oct 06),113.20,114.20,111.70,111.70,111.80,-1.80,266,0,7633
10/16/2006,V (Oct 06),111.60,111.60,106.10,106.20,106.20,-5.60,1894,0,7306
10/17/2006,V (Oct 06),109.50,114.50,107.50,111.20,112.30,6.10,784,0,6514
10/18/2006,V (Oct 06),0.00,0.00,0.00,0.00,114.34,2.04,0,0,6334
