Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
10/21/2005,Z (Dec 05),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
10/24/2005,Z (Dec 05),155.80,157.20,150.90,150.90,151.40,151.40,76,0,76
10/25/2005,Z (Dec 05),149.30,149.30,148.50,149.00,149.20,-2.20,22,0,77
10/26/2005,Z (Dec 05),0.00,0.00,0.00,0.00,147.00,-2.20,0,0,77
10/27/2005,Z (Dec 05),149.00,149.90,149.00,149.90,149.40,2.40,8,0,85
10/28/2005,Z (Dec 05),150.20,151.30,148.10,149.20,148.50,-0.90,117,0,169
10/31/2005,Z (Dec 05),146.70,146.70,143.90,143.90,145.30,-3.20,30,0,159
11/01/2005,Z (Dec 05),146.20,146.30,145.00,145.00,145.80,0.50,14,0,165
11/02/2005,Z (Dec 05),146.00,146.00,141.40,141.40,141.80,-4.00,20,0,158
11/03/2005,Z (Dec 05),140.20,140.20,134.10,136.70,136.50,-5.30,53,0,167
11/04/2005,Z (Dec 05),135.00,136.50,134.90,136.50,135.60,-0.90,7,0,155
11/07/2005,Z (Dec 05),136.50,136.50,135.50,135.50,135.00,-0.60,45,0,134
11/08/2005,Z (Dec 05),134.10,134.10,134.10,134.10,135.60,0.60,10,0,137
11/09/2005,Z (Dec 05),0.00,0.00,0.00,0.00,133.50,-2.10,114,0,190
11/10/2005,Z (Dec 05),131.90,133.60,131.90,133.60,131.00,-2.50,2,0,155
11/11/2005,Z (Dec 05),129.00,129.00,126.70,126.70,127.00,-4.00,30,0,172
11/14/2005,Z (Dec 05),127.80,129.20,126.10,129.20,128.70,1.70,357,0,518
11/15/2005,Z (Dec 05),128.50,129.00,126.50,129.00,128.00,-0.70,235,0,728
11/16/2005,Z (Dec 05),128.00,128.40,127.50,127.70,127.60,-0.40,48,0,668
11/17/2005,Z (Dec 05),125.40,126.10,124.00,124.00,124.20,-3.40,94,0,758
11/18/2005,Z (Dec 05),123.20,123.20,119.50,121.20,120.50,-3.70,292,0,968
11/21/2005,Z (Dec 05),120.75,122.00,120.20,121.00,120.80,0.30,299,0,1191
11/22/2005,Z (Dec 05),119.60,121.00,119.30,120.80,120.10,-0.70,258,0,1426
11/23/2005,Z (Dec 05),120.50,120.50,118.20,118.20,119.40,-0.70,43,0,1463
11/25/2005,Z (Dec 05),120.20,120.20,120.00,120.00,119.60,0.20,2,0,1452
11/28/2005,Z (Dec 05),120.00,121.30,119.80,119.80,120.60,1.00,74,0,1458
11/29/2005,Z (Dec 05),119.30,121.40,119.20,121.00,121.10,0.50,34,0,1480
11/30/2005,Z (Dec 05),121.30,121.70,120.70,121.70,121.90,0.80,21,0,1483
12/01/2005,Z (Dec 05),120.50,120.50,119.90,120.10,120.30,-1.60,110,0,1556
12/02/2005,Z (Dec 05),120.00,120.00,117.70,117.70,117.70,-2.60,41,0,1595
12/05/2005,Z (Dec 05),116.70,119.30,116.70,119.10,118.30,0.60,38,0,1607
12/06/2005,Z (Dec 05),117.40,117.80,116.10,117.70,118.10,-0.20,60,0,1569
12/07/2005,Z (Dec 05),118.00,122.90,118.00,121.00,121.50,3.40,151,0,1635
12/08/2005,Z (Dec 05),122.40,122.40,120.00,121.00,121.50,0.00,57,0,1515
12/09/2005,Z (Dec 05),120.30,120.40,119.80,120.00,120.10,-1.40,40,0,1540
12/12/2005,Z (Dec 05),119.70,120.80,119.70,120.70,119.60,-0.50,22,0,1618
12/13/2005,Z (Dec 05),119.80,119.80,116.30,117.70,116.80,-2.80,133,0,1693
12/14/2005,Z (Dec 05),115.30,115.30,113.50,114.20,113.30,-3.50,60,0,1713
12/15/2005,Z (Dec 05),112.30,112.40,110.90,111.10,111.60,-1.70,142,0,1697
12/16/2005,Z (Dec 05),109.70,110.00,109.00,110.00,110.20,-1.40,33,0,1694
12/19/2005,Z (Dec 05),109.70,111.10,108.50,111.00,111.10,0.90,136,0,1593
12/20/2005,Z (Dec 05),111.50,112.70,110.20,111.20,111.50,0.40,301,0,1650
12/21/2005,Z (Dec 05),0.00,0.00,0.00,0.00,101.75,-9.75,0,0,1548
