Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
3/26/2004,K (May 04),212.4,212.5,202.7,202.7,203.2,0,216,0,144
3/29/2004,K (May 04),199,199.9,197.5,197.7,198,0,52,0,113
3/30/2004,K (May 04),198.6,200.4,196.1,196.1,196.2,-1.8,93,0,159
3/31/2004,K (May 04),196.7,198.1,196.7,197.2,197.5,1.3,562,0,684
4/1/2004,K (May 04),198.7,199.9,196.4,196.5,196.2,-1.3,84,0,708
4/2/2004,K (May 04),194.7,194.7,188.4,189.8,188.9,-7.3,89,0,804
4/5/2004,K (May 04),187.3,188,185.5,186.2,185.3,-3.6,84,0,839
4/6/2004,K (May 04),185.7,188.9,185.7,187.6,187.9,2.6,304,0,1126
4/7/2004,K (May 04),189.7,192.5,188.9,191.3,190.9,3,226,0,1325
4/8/2004,K (May 04),189.5,191.5,189.5,190.1,190.5,-0.4,98,0,1485
4/12/2004,K (May 04),187.8,187.8,187,187,186.7,-3.8,5,0,1486
4/13/2004,K (May 04),190,193.1,188.9,193.1,193,6.3,25,0,1464
4/14/2004,K (May 04),193.8,195,193.8,194.3,194.6,1.6,308,0,1589
4/15/2004,K (May 04),193.3,194.4,192.6,192.6,193.5,-1.1,142,0,1667
4/16/2004,K (May 04),191.8,191.9,190,190.1,190,-3.5,61,0,1718
4/19/2004,K (May 04),191,191.4,188.5,188.5,188.7,-1.3,11,0,1723
4/20/2004,K (May 04),188.7,191.1,186.5,191.1,191.5,2.8,125,0,1836
4/21/2004,K (May 04),190.9,191,186.4,186.6,186.8,-4.7,11,0,1817
4/22/2004,K (May 04),185.5,185.5,171.4,172.7,173.5,-13.3,95,0,1884
4/23/2004,K (May 04),172.3,175,172.3,173,173.4,-0.1,601,0,1461
4/26/2004,K (May 04),173,173.9,172.3,172.3,171.3,-2.1,246,0,1282
4/27/2004,K (May 04),171.2,171.2,165,167.4,168,-3.3,87,0,1290
4/28/2004,K (May 04),170.5,175.1,170,175,173.7,5.7,335,0,1108
4/29/2004,K (May 04),172.3,179.1,172.3,178,177.7,4,274,0,1115
4/30/2004,K (May 04),175.4,182.8,175.4,182.8,182.2,4.5,131,0,1018
5/3/2004,K (May 04),180,180,178,178,176.9,-5.3,42,0,934
5/4/2004,K (May 04),176,176.8,168.5,168.5,173.1,-3.8,36,0,930
5/5/2004,K (May 04),170.4,170.5,166,166,166.2,-6.9,237,0,996
5/6/2004,K (May 04),168.5,176.5,168.5,175,174.8,8.6,41,0,1034
5/7/2004,K (May 04),175.4,181.4,171.2,181.4,183.1,8.3,136,0,1083
5/10/2004,K (May 04),187.9,195.8,186,194.2,193.5,10.4,219,0,1198
5/11/2004,K (May 04),189,189,183.3,184.3,183.8,-9.7,85,0,1109
5/12/2004,K (May 04),183.1,194,183.1,184.9,182,-1.8,162,0,1166
5/13/2004,K (May 04),183.1,194,183.1,184.9,183.8,1.8,99,0,1222
5/14/2004,K (May 04),184.5,187.3,181.7,182,185.5,1.7,38,0,1228
5/17/2004,K (May 04),191.7,195,189,194.4,193.7,8.2,207,0,1195
5/18/2004,K (May 04),192,192,189.5,192,192.5,-1.2,41,0,1241
5/19/2004,K (May 04),0,0,0,0,183.55,-8.95,0,0,1111
3/26/2004,M (Jun 04),203.3,203.7,201,202,201.6,0,26,0,26
3/29/2004,M (Jun 04),198.5,198.5,197.3,197.6,197.7,0,32,0,45
3/30/2004,M (Jun 04),198.5,198.8,197.3,197.3,197.9,0.2,29,0,44
3/31/2004,M (Jun 04),199.8,199.8,199,199,198.5,0.6,3,0,41
4/1/2004,M (Jun 04),199.4,199.4,199.4,199.4,196.1,-2.4,1,0,41
4/2/2004,M (Jun 04),195.1,195.1,192,192.5,191.6,-4.5,50,0,88
4/5/2004,M (Jun 04),190,190,186.3,186.3,186.2,-5.4,48,0,134
